Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Upgrade/Downgrade/No Change,Adjusted Close Price (t = 0),Adjusted Close Price (t = 30)
182,8/23/2019,Ross Stores Inc,ROST,Td Cowen,John Kernan,Outperform,Outperform,115,116,,,
77,10/11/2019,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,103,112,,,
325,11/22/2019,Ross Stores Inc,ROST,,Michael Baker,Neutral,Neutral,113,113,,,
191,11/22/2019,Ross Stores Inc,ROST,Td Cowen,John Kernan,Outperform,Outperform,126,131,,,
76,11/22/2019,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,112,118,,,
445,2/4/2020,Ross Stores Inc,ROST,,Simeon Siegel,Outperform,Outperform,130,130,,,
393,2/24/2020,Ross Stores Inc,ROST,Deutsche Bank,Paul Trussell,Buy,Buy,128,128,,,
294,3/4/2020,Ross Stores Inc,ROST,,Matthew Boss,Overweight,Overweight,122,122,,,
432,3/4/2020,Ross Stores Inc,ROST,Roth Mkm,Roxanne Meyer,Buy,Buy,124,124,,,
371,3/20/2020,Ross Stores Inc,ROST,Citi,Paul Lejuez,Buy,Neutral,90,120,,,
39,3/25/2020,Ross Stores Inc,ROST,Goldman Sachs,Alexandra Walvis,Sell,Buy,93,110,,,
460,3/25/2020,Ross Stores Inc,ROST,,Stephen Grambling,Buy,Buy,93,93,,,
219,3/30/2020,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,105,105,,,
321,3/31/2020,Ross Stores Inc,ROST,Nomura,Michael Baker,Neutral,Neutral,80,80,,,
206,4/28/2020,Ross Stores Inc,ROST,D.A. Davidson,John Morris,Buy,Neutral,87,108,,,
73,5/22/2020,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,96,101,,,
260,5/22/2020,Ross Stores Inc,ROST,Baml,Lorraine Hutchinson,Buy,Buy,110,110,,,
192,5/22/2020,Ross Stores Inc,ROST,Td Cowen,John Kernan,Outperform,Outperform,99,103,,,
220,11/13/2020,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,111,111,,,
223,11/23/2020,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,121,121,,,
211,4/23/2021,Ross Stores Inc,ROST,,Kate Fitzsimons,Outperform,Outperform,130,130,,,
72,5/17/2021,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Outperform,Outperform,145,145,,,
248,10/14/2021,Ross Stores Inc,ROST,Loop Capital,Laura Champine,Hold,Buy,140,105,,,
111,11/11/2021,Ross Stores Inc,ROST,,Gabriella Carbone,Buy,Buy,146,146,,,
181,12/10/2021,Ross Stores Inc,ROST,Td Cowen,John Kernan,Market Perform,Market Perform,109,109,,,
357,12/10/2021,Ross Stores Inc,ROST,,Oliver Chen,Market Perform,Market Perform,109,109,,,
123,1/4/2022,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Equal Weight,Equal Weight,120,120,,,
57,2/10/2022,Ross Stores Inc,ROST,Gordon Haskett,Chuck Grom,Hold,Accumulate,130,106,,,
218,3/2/2022,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,137,137,,,
216,4/26/2022,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,139,139,,,
341,8/19/2022,Ross Stores Inc,ROST,Credit Suisse,Michael Binetti,Outperform,Outperform,99,99,,,
193,8/19/2022,Ross Stores Inc,ROST,Td Cowen,John Kernan,Outperform,Outperform,80,83,,,
140,8/19/2022,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Equal Weight,Equal Weight,90,90,,,
250,8/19/2022,Ross Stores Inc,ROST,Loop Capital,Laura Champine,Hold,Hold,80,85,,,
85,11/18/2022,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,120,120,,,
141,11/18/2022,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Overweight,Overweight,120,120,,,
232,11/18/2022,Ross Stores Inc,ROST,,Kimberly Greenberger,Overweight,Overweight,127,127,,,
178,11/18/2022,Ross Stores Inc,ROST,,Jay Sole,Neutral,Neutral,108,108,,,
142,12/20/2022,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Overweight,Overweight,135,135,,,
86,2/17/2023,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,120,120,,,
87,3/1/2023,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,120,120,,,
342,3/1/2023,Ross Stores Inc,ROST,,Michael Binetti,Outperform,Outperform,123,123,,,
251,3/22/2023,Ross Stores Inc,ROST,Loop Capital,Laura Champine,Buy,Hold,105,115,,,
308,4/3/2023,Ross Stores Inc,ROST,Jpmorgan,Matthew Boss,Overweight,Overweight,124,124,,,
88,5/12/2023,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,120,120,,,
89,5/19/2023,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,120,120,,,
65,6/26/2023,Ross Stores Inc,ROST,Gordon Haskett,Chuck Grom,Buy,Accumulate,120,120,,,
102,6/29/2023,Ross Stores Inc,ROST,,Edward Yruma,Neutral,Neutral,112,112,,,
189,8/3/2023,Ross Stores Inc,ROST,Td Cowen,John Kernan,Outperform,Market Perform,113,128,,,
90,8/10/2023,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,120,120,,,
233,8/18/2023,Ross Stores Inc,ROST,,Kimberly Greenberger,Overweight,Overweight,131,131,,,
423,8/18/2023,Ross Stores Inc,ROST,Guggenheim,Robert Drbul,Buy,Buy,135,135,,,
91,8/18/2023,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,130,130,,,
258,8/18/2023,Ross Stores Inc,ROST,Loop Capital,Laura Champine,Buy,Buy,135,135,,,
66,11/3/2023,Ross Stores Inc,ROST,Gordon Haskett,Chuck Grom,Accumulate,Buy,135,135,,,
343,11/7/2023,Ross Stores Inc,ROST,,Michael Binetti,Outperform,Outperform,140,140,,,
175,2/23/2024,Ross Stores Inc,ROST,Ubs,Jay Sole,Sell,Neutral,85,142,,,
344,2/23/2024,Ross Stores Inc,ROST,,Michael Binetti,Outperform,Outperform,165,165,,,
92,5/17/2024,Ross Stores Inc,ROST,,Dana Telsey,Market Perform,Market Perform,160,160,,,
34,5/24/2024,Ross Stores Inc,ROST,Morgan Stanley,Alex Straton,Overweight,Overweight,161,161,,,
199,5/24/2024,Ross Stores Inc,ROST,Td Cowen,John Kernan,Buy,Buy,176,176,,,
93,5/24/2024,Ross Stores Inc,ROST,,Dana Telsey,Market Perform,Market Perform,160,160,,,
94,6/14/2024,Ross Stores Inc,ROST,,Dana Telsey,Market Perform,Market Perform,160,160,,,
95,8/16/2024,Ross Stores Inc,ROST,,Dana Telsey,Market Perform,Market Perform,160,160,,,
55,8/23/2024,Ross Stores Inc,ROST,Goldman Sachs,Brooke Roach,Buy,Buy,167,185,,,
35,8/23/2024,Ross Stores Inc,ROST,Morgan Stanley,Alex Straton,Overweight,Overweight,178,178,,,
200,8/23/2024,Ross Stores Inc,ROST,Td Cowen,John Kernan,Buy,Buy,185,185,,,
176,8/23/2024,Ross Stores Inc,ROST,Ubs,Jay Sole,Neutral,Neutral,167,167,,,
259,8/23/2024,Ross Stores Inc,ROST,Loop Capital,Laura Champine,Buy,Buy,190,190,,,
283,8/23/2024,Ross Stores Inc,ROST,Baird,Mark Altschwager,Outperform,Outperform,180,180,,,
21,8/23/2024,Ross Stores Inc,ROST,Barclays,Adrienne Yih,Overweight,Overweight,175,175,,,
96,10/29/2024,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Market Perform,Market Perform,175,175,,,
385,11/12/2024,Ross Stores Inc,ROST,Citi,Paul Lejuez,Buy,Neutral,152,152,,,
143,11/14/2024,Ross Stores Inc,ROST,Wells Fargo,Ike Boruchow,Overweight,Overweight,165,165,,,
